user_id,name,occupation,city_tier,monthly_income_inr,recharge_freq_days,recharge_delay_std_days,avg_recharge_inr,utility_on_time_pct,utility_bills_missed_12m,avg_utility_bill_inr,ecommerce_orders_30d,essential_spending_ratio,upi_inflow_regularity_score,min_wallet_balance_inr,food_delivery_spend_inr,outing_entertainment_spend_inr,impulse_shopping_inr,subscriptions_spend_inr,total_unnecessary_spend_inr,potential_micro_investment_savings_inr,risk_appetite_bucket,credit_score_label
USR_1001,Rajesh Bose,Kirana Shop Owner,Tier-3,30000,28,9.5,719,49.4,0,427,3,0.93,0.86,1140,429,287,369,130,1215,500,Low,655
USR_1002,Kavita Gupta,Gig Delivery Worker,Tier-2,45000,28,9.5,479,62.9,4,1326,3,0.92,0.66,1988,557,526,576,268,1927,500,High,494
USR_1003,Meena Nair,College Student / Freelancer,Tier-2,20000,60,3.5,666,58.7,0,1502,7,0.47,0.28,1694,2825,1635,3256,514,8230,2100,Medium,622
USR_1004,Arjun Tiwari,Small Artisan / Handloom,Rural,12000,28,5.4,199,51.9,0,2094,3,0.57,0.33,4329,1738,857,597,231,3423,900,Medium,618
USR_1005,Ankit Hegde,Private School Teacher,Tier-3,60000,28,7,479,47.2,1,1973,4,0.37,0.33,254,12886,6156,8585,3500,31127,7800,Medium,568
USR_1006,Sunita Tiwari,Auto Rickshaw Driver,Tier-3,60000,30,8.5,666,95.8,2,1693,6,0.54,0.33,1216,7676,7275,8699,567,24217,6100,High,601
USR_1007,Suresh Singh,Beautician / Salon Owner,Tier-2,12000,28,4.4,479,59.4,0,1846,4,0.53,0.46,280,1877,1131,636,238,3882,1000,High,643
USR_1008,Pooja Begum,IT Support Executive,Tier-1,60000,30,1.4,479,54.5,2,1334,4,0.65,0.76,4305,5203,3025,5833,1779,15840,4000,Medium,624
USR_1009,Rajesh Bose,Kirana Shop Owner,Tier-3,12000,30,4.9,299,90.3,1,1917,3,0.45,0.97,2631,1506,1975,2252,426,6159,1500,High,714
USR_1010,Karan Gupta,Gig Delivery Worker,Tier-2,60000,45,10.7,199,78.5,0,655,2,0.41,0.73,124,7017,7425,9663,2554,26659,6700,Low,650
USR_1011,Ramesh Devi,College Student / Freelancer,Tier-2,12000,28,2.6,479,79.5,1,506,2,0.93,0.54,4471,285,217,189,55,746,500,Medium,701
USR_1012,Karan Devi,Small Artisan / Handloom,Rural,20000,30,1,666,96.4,4,2312,1,0.91,0.56,4836,790,487,312,91,1680,500,High,626
USR_1013,Ankit Chauhan,Private School Teacher,Tier-3,12000,28,10.2,479,74.2,0,1653,4,0.77,0.76,1861,657,722,834,246,2459,600,High,679
USR_1014,Manoj Bose,Auto Rickshaw Driver,Tier-3,12000,28,5.1,666,93.2,0,1573,3,0.94,0.86,4315,162,77,126,45,410,500,Low,815
USR_1015,Meena Hegde,Beautician / Salon Owner,Tier-2,25000,30,1.5,719,51.7,0,1838,1,0.93,0.77,301,471,326,500,70,1367,500,Low,703
USR_1016,Pooja Kumar,IT Support Executive,Tier-1,15000,60,5.6,199,79.6,0,2400,4,0.56,0.8,170,1219,720,727,583,3249,800,High,707
USR_1017,Pooja Gupta,Kirana Shop Owner,Tier-3,15000,30,9.8,666,50.4,0,1176,2,0.57,0.71,2565,2624,1494,907,165,5190,1300,Medium,617
USR_1018,Prakash Bose,Gig Delivery Worker,Tier-2,60000,30,7.1,199,67.5,0,2371,4,0.41,0.26,562,12563,4044,6362,3100,26069,6500,Medium,615
USR_1019,Priya Iyer,College Student / Freelancer,Tier-2,12000,28,8.5,299,77.7,3,1917,2,0.8,0.84,4953,657,418,705,113,1893,500,High,595
USR_1020,Manoj Verma,Small Artisan / Handloom,Rural,12000,28,6.6,666,89.6,0,2270,1,0.89,0.32,1664,574,382,321,93,1370,500,High,707
USR_1021,Ankit Hegde,Private School Teacher,Tier-3,12000,30,2.9,719,87.5,2,500,1,0.68,0.57,4449,980,473,521,310,2284,600,Medium,660
USR_1022,Divya Sharma,Auto Rickshaw Driver,Tier-3,30000,30,3.2,719,62.2,2,2383,3,0.82,0.66,2178,2278,660,1205,112,4255,1100,Medium,630
